,GeoName,year,Gross domestic product (GDP) by state,Quantity indexes for real GDP by state,Real GDP by state,pce   Clothing and footwear,pce   Food and beverages purchased for off-premises consumption,pce   Furnishings and durable household equipment,pce   Gasoline and other energy goods,pce   Motor vehicles and parts,pce   Other durable goods,pce   Other nondurable goods,pce   Recreational goods and vehicles,pce  Durable goods,pce  Financial services and insurance,pce  Food services and accommodations,pce  Health care,pce  Household consumption expenditures (for services),pce  Housing and utilities,pce  Nondurable goods,pce  Other services,pce  Recreation services,pce  Transportation services,pce Final consumption expenditures of nonprofit institutions serving households (NPISHs),pce Goods,pce Gross output of nonprofit institutions,pce Less: Receipts from sales of goods and services by nonprofit institutions,pce Services,pcePersonal consumption expenditures,Per capita personal income (dollars) ,Personal income (thousands of dollars),Population (persons) ,Disposable personal income (thousands of dollars),Per capita disposable personal income (dollars) ,Employer contributions for employee pension and insurance funds ,Employer contributions for government social insurance,Farm proprietors employment ,Farm proprietors' income,Imputed interest receipts ,Imputed rent,Monetary interest receipts,Monetary rent,Nonfarm proprietors employment,Nonfarm proprietors' income,Average nonfarm proprietors' income,Average wages and salaries,Income maintenance benefits ,Per capita dividends ,Per capita income maintenance benefits ,Per capita interest ,Per capita rent ,Per capita retirement and other ,Per capita unemployment insurance compensation ,Personal dividend income,Personal interest income,Proprietors employment,Proprietors' income,Rental income of persons,Retirement and other,Supplements to wages and salaries,Unemployment insurance compensation,Wage and salary employment,Wages and salaries,Average earnings per job (dollars),"Dividends, interest, and rent",Earnings by place of work,Net earnings by place of residence,"Per capita dividends, interest, and rent ",Per capita net earnings ,Per capita personal current transfer receipts ,Per capita personal income ,Personal current transfer receipts,Total employment (number of jobs),Excluding family assistance ,Family assistance ,Medicaid ,Other government retirement and disability insurance benefits ,Other medical care benefits ,Other unemployment compensation ,Railroad retirement and disability benefits,Unemployment compensation for Federal civilian employees (UCFE),Unemployment compensation for railroad employees,Unemployment compensation for veterans (UCX),Workers' compensation,Earned Income Tax Credit (EITC),Excluding Social Security benefits,Excluding state unemployment insurance compensation,Medicare benefits,Military medical insurance benefits ,Other assistance to veterans 1,Other income maintenance benefits,Public assistance medical care benefits ,Social Security benefits,State unemployment insurance compensation,Supplemental Nutrition Assistance Program (SNAP),Supplemental security income (SSI) benefits,Veterans' life insurance benefits,Veterans' pension and disability benefits,Veterans' readjustment benefits ,Education and training assistance 1,Income maintenance benefits,Medical benefits,Other transfer receipts of individuals from governments 1,Receipts from businesses,Receipts from state and local governments,Receipts from the Federal government,Retirement and disability insurance benefits,Veterans' benefits,Current transfer receipts of individuals from businesses 1,Current transfer receipts of individuals from governments,Current transfer receipts of nonprofit institutions,Personal current transfer receipts (thousands of dollars),Rental income of persons ,"Dividends, interest, and rent (thousands of dollars)",Cattle and calves,Corn,Hogs and pigs,Oats,Other grains,Sheep and other livestock,Sorghum,Soybeans,Wheat,Cotton,Dairy products,Fruits and nuts,"Greenhouse, nursery and mushroom products","Hay, silage, etc.",Meat animals and other livestock,Other crops,Poultry and poultry products,Tobacco,Total grains,Vegetables,All other production expenses ,Cash receipts: Crops,Cash receipts: Livestock and products,Feed purchased,Fertilizer and lime (incl. ag. chemicals 1978-fwd.),Government payments,Hired farm labor expenses ,Imputed and miscellaneous income received ,Less: Net income of corporate farms,Less: Production expenses,Livestock purchased,Petroleum products purchased,Plus: Farm supplements to wages and salaries,Plus: Farm wages and salaries,Plus: Statistical adjustment,Plus: Value of inventory change,Seed purchased,Value of inventory change: crops,Value of inventory change: livestock,Value of inventory change: materials and supplies,Cash receipts and other income,Cash receipts from marketings (thousands of dollars),Equals: Farm earnings,Equals: Farm proprietors' income,Equals: Net income including corporate farms,Equals: Realized net income,Other income,Production expenses,Value of inventory change,Employee and self-employed contributions for government social insurance,Equals: Net earnings by place of residence,Farm income ,Less: Contributions for government social insurance ,Nonfarm personal income ,Plus: Adjustment for residence ,"Plus: Dividends, interest, and rent ",Plus: Personal current transfer receipts,Proprietors' income ,Total employment,Income taxes (gross) ,Less: Refunds,Income taxes (net of refunds) ,Other taxes,Other taxes ,Federal government ,Less: Personal current taxes,Local governments,State and local personal property taxes,State governments,Equals: Disposable personal income,Personal current taxes,state,Top Industry,NAICS,GDP PC,Accommodation,Administrative and support services,Ambulatory health care services,Broadcasting and telecommunications,Chemical products manufacturing,Computer and electronic products manufacturing,"Federal Reserve banks, credit intermediation, and related services",Food and beverage and tobacco products manufacturing,Hospitals and nursing and residential care facilities,Insurance carriers and related activities,"Mining, except oil and gas","Motor vehicles, bodies and trailers, and parts manufacturing",Oil and gas extraction,"Publishing industries, except Internet (includes software)",Support activities for mining,contract_establish,end_establish,expand_establish,net_change,open_establish,total_contract,total_expand
0,Alabama,1998,104309,81.042,137437,813,1773,509,558,1120,272,1399,437,2338,1331,960,2856,10180,2494,4542,1298,753,487,183,6880,1447,1264,10363,17243,21480,93822199,4367935,83209782,19050,7360445,3772466,49691,814007,7635923,1064726,4234021,586517,311547,5566186,17866,25562,1893862,890,434,2718,378,3105,50,3889322,11869944,361238,6380193,1651243,13563612,11132911,220241,1960015,50101304,29128,17410509,67614408,60733975,3986,13905,3589,21480,15677715,2321253,68111,71579,2258422,44788,0,11035,130037,1922,1045,2728,53923,737232,228748,16730,3655953,63985,385,139690,2258422,6079781,203511,381363,635577,24639,462722,27752,274764,1893862,5978360,9051,134298,69386,96197,6308529,515498,177529,15200305,299881,15677715,1651243,17410509,523069,46802,63691,975,497,75541,404,63431,12918,255817,61272,20724,207942,23649,662301,110039,1887585,1395,125027,53939,1392183,798532,2611158,697069,215552,65784,174695,472938,96409,2960994,341450,80616,20065,119868,75000,-77008,59429,-64937,-17934,5863,3948412,3409690,953940,814007,910410,987418,538722,2960994,-77008,4057820,60733975,944957,7830286,92877242,949853,17410509,15677715,6380193,2321253,10206495,1648297,8558198,40573,15957,8558198,10612417,136089,44757,1873373,83209782,10612417,Alabama,Ambulatory health care services,621,0.031464983,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,683328,166590,696468,51550,205000,849918,901468
1,Alaska,1998,25763,75.935,38358,838,2387,590,761,936,359,1654,855,2739,1733,1777,2798,14238,3893,5640,2664,627,747,702,8379,2277,1575,14940,23320,27812,17047974,612968,15203610,24803,1662800,800069,540,10256,1528726,151839,597273,190214,80486,1536255,19087,33746,265406,1154,433,3468,558,3112,164,707149,2125999,81026,1546511,342053,1907420,2462869,100319,293471,9903619,37151,3175201,13912999,11599628,5180,18924,3708,27812,2273145,374497,36683,99147,370106,273,3410,186,2078,3856,75000,1419,10812,34659,13163,5504,189485,13807,1093,135830,373516,370231,94815,51948,42969,2592,61871,5055,18987,265406,576808,792407,18345,9478,13140,383394,70611,24250,2207932,40963,2273145,342053,3175201,2495,0,510,146,461,23254,0,0,0,0,2892,0,11099,2831,26259,238,0,0,607,4100,20512,18875,29151,2493,1800,1490,6074,1227,5299,35576,1291,1708,821,4917,0,388,1698,75000,299,67,50743,48026,15994,10256,15555,15167,2717,35576,388,704827,11599628,15615,1504896,17032359,-808475,3175201,2273145,1546511,374497,1988713,190742,1797971,1705,15139,1797971,1844364,4999,2786,38608,15203610,1844364,Alaska,Oil and gas extraction,211,0.062577492,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,162464,35300,169612,12604,40756,197764,210368
2,Arizona,1998,132795,67.195,163353,765,1716,645,621,1121,292,1638,618,2676,1394,1423,2393,11611,3527,4740,1405,714,755,197,7415,1353,1156,11808,19223,22680,107437212,4736990,94533284,19956,7631275,4385336,7881,402906,9421016,1530898,6350634,813267,404640,7413882,18322,27849,1489880,1155,315,3329,495,2729,34,5470024,15771650,412521,7816788,2344165,12928454,12016611,159131,2084644,58055584,31191,23585839,77888983,69273908,4979,14624,3077,22680,14577465,2497165,136717,236250,1774244,6683,179472,730,135844,4609,848,1215,249648,505320,392175,7402,3056085,60695,350,372967,1953716,6099822,151729,294769,316824,40996,400507,34613,302282,1489880,5070496,70013,145491,75168,104215,6491997,476466,192326,14060265,324874,14577465,2344165,23585839,441403,14348,45659,0,16639,56825,3145,0,30609,286878,344890,89795,79319,112912,543887,19188,3497,0,64741,622719,669303,1275552,892274,233441,156966,46575,470924,86920,174297,1807811,170022,54431,39797,297459,75000,83689,52724,60171,19730,3788,2301321,2167826,740162,402906,577199,493510,133495,1807811,83689,4590947,69273908,717333,8976283,106719879,361208,23585839,14577465,7816788,2497165,12235658,1366688,10868970,16187,21430,10868970,12903928,17978,163562,1853418,94533284,12903928,Arizona,Ambulatory health care services,621,0.034484557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,847022,254554,1016898,146352,231030,1101576,1247928
3,Arkansas,1998,60248,79.178,79256,784,1518,504,629,1052,335,1267,422,2313,1254,904,2517,9462,2544,4198,1243,555,443,177,6512,1270,1093,9639,16151,20149,52409055,2601090,46699786,17954,3884988,2169699,49458,1557365,3967284,510236,2522254,415325,218018,3552425,16294,23096,1076447,887,414,2495,356,3160,79,2308361,6489538,267476,5109790,925561,8219928,6054687,205616,1159687,26784551,26591,9723460,37949028,33183604,3738,12758,3653,20149,9501991,1427163,81875,47793,1337985,7679,0,1957,119655,2576,1173,2597,28177,398793,155511,8303,2033674,39162,115,129668,1337985,3817373,197313,210980,337006,16796,355053,12987,161450,1076447,3410821,5014,80118,41393,57388,3972884,384951,105909,9217183,178899,9501991,925561,9723460,501625,64825,198540,868,705548,108384,28642,795776,141781,450508,90045,15258,34238,81228,808549,2223,2610646,0,1737440,26063,2083947,2346958,3509240,1081686,530472,274938,402119,338334,205537,4873289,467737,190400,29843,223404,75000,166710,116928,202826,-38892,2776,6469470,5856198,1810612,1557365,1762891,1596181,613272,4873289,166710,2290437,33183604,1795844,4460136,50613211,-305288,9723460,9501991,5109790,1427163,5150757,857839,4292918,3048,22535,4292918,5709269,3048,30510,1382793,46699786,5709269,Arkansas,Broadcasting and telecommunications,513,0.030470303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,407264,80390,406062,12302,93894,487654,499956
4,California,1998,1082051,70.134,1342133,942,1684,538,450,863,310,1277,793,2504,1637,1339,2878,13684,4533,4353,1680,737,881,307,6857,1715,1408,13991,20848,27147,881903762,32486010,761138752,23430,65964003,33473016,89973,4486374,64502219,14504673,44841652,14578667,3361737,90418618,26896,33434,18006050,1164,554,3366,895,2620,83,37812528,109343871,3451710,94904992,29083340,85118666,99437019,2700477,14215405,475281712,37902,176239739,669623723,599838830,5425,18465,3258,27147,105825193,17667115,2137138,4691885,15743619,1641254,1480034,4155,475089,49151,4216,22690,1251286,3363208,3367629,80212,22580169,286684,800,6829023,17223653,33770149,2620265,2290985,5522834,208297,1548007,111938,2357170,18006050,40090506,119255,997200,515212,714294,37137778,1869042,1318209,102280278,2226706,105825193,29083340,176239739,1485052,101892,53775,3475,435592,302463,0,0,169254,1158885,3629762,7697679,2743399,893932,1841290,453202,1071112,0,710213,5893248,8660030,19550558,6542164,2442189,1999834,220475,6357755,731168,1487266,21362910,759223,500896,615920,3590526,75000,292137,642983,68416,199477,24244,27044365,26092722,8692820,4486374,5973592,5681455,951643,21362910,292137,36254621,599838830,8373577,69727637,873530185,-57256,176239739,105825193,94904992,17667115,104791570,11312163,93479407,319603,69778,93479407,120765010,319603,1362268,25603732,761138752,120765010,California,Computer and electronic products manufacturing,334,0.041314184,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6185954,2167074,6980742,1077746,2450032,8353028,9430774
5,Colorado,1998,136296,70.108,175327,926,1806,749,588,1058,344,1760,816,2966,1648,1673,2567,14331,4676,5080,1700,925,1139,228,8046,1686,1458,14559,22605,27388,110052113,4018293,94804101,23593,8523323,4643902,29359,327282,8824103,1617853,5414537,1198783,507412,9123615,17981,29990,1119281,1548,279,3543,701,2293,42,6219115,14238640,536771,9450897,2816636,9214453,13167225,166925,2092468,62753633,32470,23274391,85371755,76277063,5792,18982,2613,27388,10500659,2629239,167072,164317,1498507,20498,9245,2793,107661,3011,955,3947,208959,316598,337118,10706,2151216,58725,0,331389,1507752,4102563,156219,175395,295899,30693,315747,33877,223584,1119281,3717693,15738,123054,63577,88143,4439681,380317,162666,10063219,274774,10500659,2816636,23274391,2336332,284837,220135,1500,79760,182866,16793,75000,258203,0,223100,13525,193290,212947,2739333,110109,118726,0,641116,190231,1711640,1361218,3081159,761777,209684,175637,447367,246223,176945,4625307,1271336,123211,47432,301301,75000,265289,100292,180708,76861,7720,4864237,4442377,676015,327282,504219,238930,421860,4625307,265289,4656255,76277063,651429,9300157,109400684,205465,23274391,10500659,9450897,2629239,13405686,1186986,12218700,19978,50977,12218700,15248012,31956,105231,2892125,94804101,15248012,Colorado,Broadcasting and telecommunications,513,0.043632209,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,929494,194776,1001224,130024,253070,1124270,1254294
6,Connecticut,1998,140127,81.162,183487,1139,1979,654,703,1094,405,1949,682,2834,2038,1189,3566,16010,5025,5771,2310,822,1060,507,8605,2547,2040,16517,25122,35214,117944101,3349348,97727395,29178,8447434,4469970,3993,38755,8321902,1615563,6679459,1101687,316255,9263772,29292,38145,1164262,1585,348,4479,811,3627,106,5310349,15001361,320248,9302527,2717250,12147308,12917404,356400,1680101,64087294,43146,23028960,86307225,81247171,6876,24258,4081,35214,13667970,2000349,149473,385850,2909901,9631,107106,1668,43640,2631,304,2782,208145,172314,261416,7385,2979075,14265,0,535323,3017007,5167246,349015,169122,287503,31615,148353,8784,148702,1164262,6010347,4583,103031,53232,73801,5428662,188752,136198,13301708,230064,13667970,2717250,23028960,15645,0,1456,0,0,28296,0,0,0,0,76132,16093,137258,5225,45397,81426,61595,13919,0,22470,170683,276391,183124,53176,19649,1383,124414,19489,22849,415470,8740,12419,16744,102277,75000,-3314,26389,-1108,-2711,505,480387,459515,157776,38755,61603,64917,20872,415470,-3314,4675829,81247171,149377,9145799,117794724,4085745,23028960,13667970,9302527,2000349,18290825,1373065,16917760,7730,5255,16917760,20216706,7730,153459,3137757,97727395,20216706,Connecticut,Insurance carriers and related activities,524,0.054782901,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,614654,126200,652258,54870,143466,740854,795724
7,Delaware,1998,33911,76.481,43115,957,2094,505,496,1407,404,1224,929,3245,1609,1442,3048,13884,3938,4771,2302,805,740,435,8016,2160,1725,14319,22335,27097,20362927,751487,17308133,23032,1959861,922041,2669,59975,1592306,263632,1107164,135264,55730,1056182,18952,31403,205257,1556,273,3592,531,3015,85,1169072,2699470,58399,1116157,398896,2265636,2881902,63892,406061,12751712,36063,4267438,16749771,13560704,5679,18045,3373,27097,2534785,464460,14284,35433,401651,2862,738,75000,25373,556,396,726,11740,70986,39975,1710,524885,7796,75000,49717,402389,1095686,62182,39003,45551,5847,48408,3477,52929,205257,935070,2241,23065,11917,16522,1135661,57741,30490,2452791,51504,2534785,398896,4267438,9137,38880,9113,0,3548,4149,0,44404,17133,0,20286,4321,29705,2002,22399,7615,540912,0,103965,41630,268851,189238,583597,319486,40348,5725,44277,64217,12843,766195,63980,14804,3939,31102,75000,-3765,14449,-6088,2034,289,842777,772835,95016,59975,72817,76582,69942,766195,-3765,920877,13560704,92721,1842918,20270206,-1346149,4267438,2534785,1116157,464460,2549106,265028,2284078,3889,4859,2284078,3054794,43110,0,727606,17308133,3054794,Delaware,"Federal Reserve banks, credit intermediation, and related services",522,0.057372915,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,143190,36684,161132,21936,40678,179874,201810
8,Florida,1998,403677,74.91,540793,755,1903,707,463,1219,265,1358,741,2931,1575,1641,3052,13017,3806,4479,1546,688,708,18,7411,1071,1052,13035,20445,25551,388030818,15186304,342266975,22538,27014503,12685022,41058,1258934,40828464,4446456,32240245,3410625,1197275,20885082,17444,27046,5324031,1862,351,4811,517,3555,46,28280923,73068709,1238333,22144016,7857081,53984768,39699525,696616,6766803,183014815,30588,109206713,244858356,218818690,7191,14409,3951,25551,60005415,8005136,392161,637343,6318193,82582,0,2447,422870,6321,1781,13476,296125,1830014,801577,24025,16882435,248484,351,1029504,6318193,25477990,672591,990017,1474496,171661,1460334,80581,859437,5324031,23449112,26795,466102,240815,333868,26279567,1712927,616145,58348485,1040785,60005415,7857081,109206713,421778,16272,16428,0,61,291113,0,7775,2080,43559,407715,1697684,1409135,18846,729319,530132,353838,32293,26188,1480124,1748220,5237961,1490872,302076,745595,19044,1352604,132741,891258,4695327,145770,131741,136770,770850,75000,-35112,269321,-3421,-35185,3494,6880618,6728833,2166554,1258934,2150179,2185291,151785,4695327,-35112,14450352,218818690,2108790,27135374,385922028,1095708,109206713,60005415,22144016,8005136,50036722,5199957,44836765,55812,17686,44836765,45763843,72632,216568,637878,342266975,45763843,Florida,Ambulatory health care services,621,0.035610574,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2750556,1061164,3145180,589404,1255944,3811720,4401124
9,Georgia,1998,242669,78.79,317309,955,1725,721,596,1249,312,1531,539,2821,1474,1343,2750,11585,3316,4807,1576,582,544,65,7628,1387,1322,11650,19278,24289,186659726,7685099,162136534,21098,14510964,7327850,48964,1519363,13400090,2205539,7485222,1319003,594409,12986189,21847,29078,2869995,1172,373,2718,459,2472,38,9007870,20885312,643373,14505552,3524542,18995274,21838814,292525,3805328,110651854,33043,33417724,146996220,131084208,4348,17057,2883,24289,22157794,4448701,151760,333776,3560398,19230,0,9211,196771,6674,1745,6118,64369,1060911,280370,23748,4738147,112645,229,485536,3560398,8127057,268777,573594,749954,43170,636328,42467,606931,2869995,8411190,11217,235259,121548,168516,8407427,722194,310992,21321479,525323,22157794,3524542,33417724,415198,114816,160578,1707,5416,35788,2043,52210,51182,714475,220360,133037,221599,47782,611564,406453,2672274,158409,227374,429422,1911319,2338551,3504198,996229,500386,109156,399905,416074,242204,4480914,396933,136782,36894,257151,75000,-125509,139360,-27371,-101721,3583,6367979,5842749,1813408,1519363,1761556,1887065,525230,4480914,-125509,8134968,131084208,1794138,15462818,184865588,-449194,33417724,22157794,14505552,4448701,21951985,2791638,19160347,30903,49830,19160347,24523192,30903,205886,5126056,162136534,24523192,Georgia,"Federal Reserve banks, credit intermediation, and related services",522,0.041288863,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1521440,530320,1696068,226984,582676,2051760,2278744
